id,Y_Latitude,X_Longitud
"0",52.91423387,-2.60975738
"1",52.91423885,-2.60941692
"2",52.91415379,-2.60992672
"3",52.91318518,-2.61147938
"4",52.91303078,-2.61173766
"5",52.91292811,-2.61233826
"6",52.91300730,-2.61135767
"7",52.91282738,-2.61165018
"8",52.91277598,-2.61207900
"9",52.91327433,-2.61139950
"10",52.91361025,-2.61067460
"11",52.91394877,-2.61034798
"12",52.91319067,-2.61122484
"13",52.91384698,-2.60978273
"14",52.91377828,-2.60992982
"15",52.91454629,-2.60817099
"16",52.91439307,-2.60849530
"17",52.91449738,-2.60856752
"18",52.91472703,-2.60868286
"19",52.91459188,-2.60859944
"20",52.91470414,-2.60839649
"21",52.91451675,-2.60898740
"22",52.91457833,-2.60887634
"23",52.91441528,-2.60912259
"24",52.91436286,-2.60863586
"25",52.91424832,-2.60904509
"26",52.91429891,-2.60891687
"27",52.91461279,-2.60943190
"28",52.91453308,-2.60934929
"29",52.91453404,-2.60951509
"30",52.91475749,-2.60965641
"31",52.91468150,-2.60977127
"32",52.91485339,-2.60931839
"33",52.91488456,-2.60873521
"34",52.91483304,-2.60899257
"35",52.91496564,-2.60882887
"36",52.91500493,-2.60899830
"37",52.91502968,-2.60920691
"38",52.91495267,-2.60930532
"39",52.91406323,-2.60921889
"40",52.91414520,-2.60930827
"41",52.91417844,-2.60913285
"42",52.91425149,-2.61030883
"43",52.91423951,-2.60999180
"44",52.91449457,-2.60981614
"45",52.91335544,-2.61200538
"46",52.91320707,-2.61234052
"47",52.91339589,-2.61174744
"48",52.91409102,-2.61059506
"49",52.91390790,-2.61097009
"50",52.91372735,-2.61101816
"51",52.91460382,-2.61010342
"52",52.91431069,-2.61040590
"53",52.91434567,-2.61060279
"54",52.91360117,-2.61179905
"55",52.91333238,-2.61243093
"56",52.91329969,-2.61257411
"57",52.91400033,-2.61123655
"58",52.91424560,-2.61083499
"59",52.91411353,-2.61108664
